Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSOCUG00000031652	GL018759	662555	664071
ENSOCUG00000034209	GL018901	361991	362953
ENSOCUG00000032651	GL019074	150935	166614
ENSOCUG00000039655	GL018741	151552	152577
ENSOCUG00000036114	GL018759	664933	799198
ENSOCUG00000034513	GL018759	753127	757956
ENSOCUG00000013873	GL018700	12062781	12649366
ENSOCUG00000035936	GL019074	211272	211436
ENSOCUG00000032601	GL018901	380130	381098
ENSOCUG00000033993	GL018968	195821	197807
ENSOCUG00000030698	GL019074	214486	215508
ENSOCUG00000015823	21	8749853	8878847
ENSOCUG00000024457	GL018786	782029	791404
ENSOCUG00000032951	GL018759	764569	766645
ENSOCUG00000001462	GL018726	1488690	1525038
ENSOCUG00000031013	GL018759	802384	803397
ENSOCUG00000018402	GL019075	122962	123067
ENSOCUG00000025291	GL018843	138465	160581
ENSOCUG00000001924	5	29880864	29898353
ENSOCUG00000022870	GL018968	205212	208746
ENSOCUG00000035469	GL018759	834146	835871
ENSOCUG00000039676	GL018741	282122	285031
ENSOCUG00000029180	GL018700	12479786	12481843
ENSOCUG00000002220	21	6349065	6365264
ENSOCUG00000029689	GL019581	42987	59433
ENSOCUG00000015590	1	104315403	104353713
ENSOCUG00000032390	GL018700	13041748	13148164
ENSOCUG00000032272	GL018968	211142	215766
ENSOCUG00000030661	GL018741	336613	337527
ENSOCUG00000012008	GL019215	72500	100794
ENSOCUG00000033778	GL019076	11920	48431
ENSOCUG00000028102	GL018726	1868481	1872637
ENSOCUG00000032019	GL018700	13178340	13209659
ENSOCUG00000024029	GL018786	807111	840910
ENSOCUG00000030742	19	15514249	15554753
ENSOCUG00000015594	X	48234037	48591112
ENSOCUG00000002922	GL019582	17979	19197
ENSOCUG00000006118	GL018968	221422	225357
ENSOCUG00000029482	GL018741	476018	477028
ENSOCUG00000034981	GL018726	1896242	1897471
ENSOCUG00000035343	GL019583	1273	4000
ENSOCUG00000038132	GL018726	1933697	1940550
ENSOCUG00000033399	GL018759	844957	852051
ENSOCUG00000033932	GL019583	16185	17255
ENSOCUG00000029942	GL019076	19236	20297
ENSOCUG00000007121	GL018968	238152	239991
ENSOCUG00000010881	GL018911	126471	132880
ENSOCUG00000031330	GL018759	862454	865361
ENSOCUG00000038452	GL019583	36225	41223
ENSOCUG00000031999	GL019076	30454	31692
ENSOCUG00000023609	GL019215	78875	83881
ENSOCUG00000024632	GL018726	2019275	2020697
ENSOCUG00000009564	GL018843	185377	199966
ENSOCUG00000039500	1	87192617	87323024
ENSOCUG00000032008	GL019583	42414	44165
ENSOCUG00000033609	GL018786	845060	846646
ENSOCUG00000016064	19	44211962	44216002
ENSOCUG00000011850	5	23021053	23068085
ENSOCUG00000031058	GL019076	67758	74126
ENSOCUG00000030174	GL018759	891342	901136
ENSOCUG00000032841	GL018759	906370	909817
ENSOCUG00000030689	GL019076	67842	80394
ENSOCUG00000008909	GL019215	95136	100702
ENSOCUG00000008445	GL018726	2107132	2122940
ENSOCUG00000016015	21	8816811	8847348
ENSOCUG00000001725	3	31894796	31914092
ENSOCUG00000020927	19	15515099	15515205
ENSOCUG00000024907	GL018843	203288	203368
ENSOCUG00000030290	9	14679426	14680474
ENSOCUG00000025034	17	33026306	33122930
ENSOCUG00000012429	5	29893151	29893709
ENSOCUG00000034150	GL018843	203969	204970
ENSOCUG00000019822	17	81106093	81106173
ENSOCUG00000013044	GL018786	845834	847756
ENSOCUG00000036798	GL019218	1694	2767
ENSOCUG00000020890	GL018843	204532	204606
ENSOCUG00000019414	17	81108588	81108667
ENSOCUG00000037644	GL018843	210439	222608
ENSOCUG00000012479	3	31938172	31954101
ENSOCUG00000019611	17	81109959	81110038
ENSOCUG00000027444	GL019076	153876	170601
ENSOCUG00000002638	14	43534049	43547069
ENSOCUG00000024901	5	29923465	29928301
ENSOCUG00000019057	17	81111683	81111763
ENSOCUG00000015978	GL018786	848531	860815
ENSOCUG00000037656	GL019584	1057	9605
ENSOCUG00000034874	GL018726	2134529	2272363
ENSOCUG00000009385	GL019218	18987	25133
ENSOCUG00000036547	17	33283712	33333923
ENSOCUG00000021194	GL018968	239481	246685
ENSOCUG00000037594	GL019218	26985	32850
ENSOCUG00000002642	14	43554032	43591116
ENSOCUG00000033037	17	33439356	33468750
ENSOCUG00000004927	GL018712	2437065	2543846
ENSOCUG00000007926	GL018911	181624	251629
ENSOCUG00000001158	17	28561484	28564510
ENSOCUG00000014710	16	56773722	57100615
ENSOCUG00000038550	GL018726	2275681	2294815
ENSOCUG00000018756	14	78841160	78841303
ENSOCUG00000023320	17	44354912	44356105
ENSOCUG00000033407	GL018911	254367	255416
ENSOCUG00000020040	16	83994090	83994208
ENSOCUG00000006579	GL018843	218365	347885
ENSOCUG00000013093	GL018786	873089	881489
ENSOCUG00000027934	GL019588	8864	11170
ENSOCUG00000037511	GL018911	260590	261606
ENSOCUG00000028710	16	83997317	83997460
ENSOCUG00000026237	14	110738755	110739739
ENSOCUG00000002204	GL019218	55880	62388
ENSOCUG00000038911	GL019588	13583	15691
ENSOCUG00000026009	14	43558457	43560046
ENSOCUG00000012839	9	14683907	14702108
ENSOCUG00000030533	GL019588	29738	30926
ENSOCUG00000004542	GL019076	177556	211662
ENSOCUG00000019927	14	78841481	78841611
ENSOCUG00000008932	21	8861786	8876790
ENSOCUG00000013103	GL018786	882135	883422
ENSOCUG00000006404	3	31959432	31975203
ENSOCUG00000036308	GL019218	62938	66401
ENSOCUG00000016847	GL018757	705372	819379
ENSOCUG00000039607	GL019218	71186	72535
ENSOCUG00000007190	GL018843	221554	232320
ENSOCUG00000005133	GL018726	2309145	2336260
ENSOCUG00000007596	3	11325596	11325841
ENSOCUG00000031898	GL019076	211707	212771
ENSOCUG00000009311	13	32509275	32543936
ENSOCUG00000002145	GL018968	288182	323259
ENSOCUG00000017874	7	107591653	107926244
ENSOCUG00000005714	18	50258373	50396787
ENSOCUG00000030001	GL019589	3110	9122
ENSOCUG00000012026	GL018700	13211083	13237968
ENSOCUG00000024439	GL019218	72915	78233
ENSOCUG00000039080	GL018969	9198	10378
ENSOCUG00000029204	GL018786	906380	922108
ENSOCUG00000031069	13	123144428	123145453
ENSOCUG00000036918	GL018726	2416211	2417563
ENSOCUG00000037890	GL019589	34901	38891
ENSOCUG00000012564	5	2582095	2661196
ENSOCUG00000037738	GL018726	2430369	2431608
ENSOCUG00000031862	GL018786	952708	953586
ENSOCUG00000016751	GL018969	22374	23161
ENSOCUG00000034266	GL019591	29136	30403
ENSOCUG00000021441	GL019218	84054	85794
ENSOCUG00000027299	GL019077	12023	14469
ENSOCUG00000011363	GL018712	2819694	2841485
ENSOCUG00000033264	GL018969	55862	63105
ENSOCUG00000008722	GL018757	903066	1093193
ENSOCUG00000016445	12	20979479	20998592
ENSOCUG00000001553	18	37159199	37195424
ENSOCUG00000029816	GL018726	2449520	2506958
ENSOCUG00000009802	21	6369210	6562241
ENSOCUG00000017508	11	41321968	41341989
ENSOCUG00000011106	5	29937749	29940979
ENSOCUG00000032321	GL018786	970015	970278
ENSOCUG00000026152	3	57967267	57977467
ENSOCUG00000032090	GL018726	2454980	2478996
ENSOCUG00000019132	GL018757	1030772	1030871
ENSOCUG00000014540	GL018843	259423	273332
ENSOCUG00000029358	GL018911	261657	295506
ENSOCUG00000006623	GL018700	13265515	13311459
ENSOCUG00000000521	GL019077	16496	26779
ENSOCUG00000031309	GL018726	2548069	2553525
ENSOCUG00000032638	11	26759566	26791125
ENSOCUG00000022994	GL019218	91157	96716
ENSOCUG00000002829	12	100181706	100182497
ENSOCUG00000033307	GL018911	312132	318116
ENSOCUG00000038235	GL019218	97701	98748
ENSOCUG00000033401	GL018726	2689397	2692512
ENSOCUG00000031415	GL018911	313191	366090
ENSOCUG00000036632	GL018726	2692576	2697314
ENSOCUG00000025707	GL018700	13269716	13271138
ENSOCUG00000014534	GL018843	274364	276438
ENSOCUG00000000071	GL018786	978015	1007727
ENSOCUG00000033673	GL018726	2701450	2702556
ENSOCUG00000024590	GL018700	13311480	13312487
ENSOCUG00000024268	GL019077	28382	114028
ENSOCUG00000006732	GL018763	221054	223603
ENSOCUG00000021909	GL019592	11588	21906
ENSOCUG00000012113	GL018700	13333463	13334872
ENSOCUG00000027426	8	3929768	3974451
ENSOCUG00000033970	GL018712	2897657	2897881
ENSOCUG00000031794	GL018726	2805295	2808321
ENSOCUG00000013777	GL018738	1314536	1352503
ENSOCUG00000014753	1	92157451	92167823
ENSOCUG00000001136	GL019077	47671	64036
ENSOCUG00000038384	GL018726	2944227	2971961
ENSOCUG00000007734	GL018700	13364140	13365917
ENSOCUG00000008823	21	6390526	6435987
ENSOCUG00000016112	19	15687614	15762590
ENSOCUG00000003057	GL018911	366513	422098
ENSOCUG00000028995	GL018786	1016419	1035456
ENSOCUG00000030942	GL019593	5701	6880
ENSOCUG00000038067	GL018726	2966583	2967821
ENSOCUG00000011856	5	23068359	23069115
ENSOCUG00000031934	GL018726	3011122	3012132
ENSOCUG00000002587	GL018712	3091748	3357301
ENSOCUG00000037692	GL019593	23106	25735
ENSOCUG00000014518	GL018843	287144	341581
ENSOCUG00000038180	GL018726	3024086	3028070
ENSOCUG00000009115	21	6513579	6515752
ENSOCUG00000038862	1	95478782	95552192
ENSOCUG00000033425	5	23102902	23115733
ENSOCUG00000035313	GL018911	424471	425670
ENSOCUG00000010270	GL019218	104779	111170
ENSOCUG00000031534	GL018726	3059041	3068160
ENSOCUG00000033694	GL018712	3464523	3503790
ENSOCUG00000036370	GL018726	3075632	3076868
ENSOCUG00000031960	GL018726	3113088	3114194
ENSOCUG00000032941	1	33085101	33087551
ENSOCUG00000030220	GL019218	121387	123346
ENSOCUG00000036113	GL018712	3758599	3989184
ENSOCUG00000033328	GL018727	32942	38739
ENSOCUG00000033758	GL019219	4519	6643
ENSOCUG00000029287	GL018843	374672	401667
ENSOCUG00000004167	13	121615366	121618528
ENSOCUG00000027464	17	41792639	41807723
ENSOCUG00000004975	GL019077	116612	171418
ENSOCUG00000030257	GL019219	5547	6629
ENSOCUG00000011386	19	46310443	46346223
ENSOCUG00000039591	GL018700	13396942	13434256
ENSOCUG00000032961	GL018727	40727	42866
ENSOCUG00000007394	4	33049125	33114225
ENSOCUG00000039384	GL018969	63207	117082
ENSOCUG00000016798	8	28705478	28716530
ENSOCUG00000039287	13	118282997	118283720
ENSOCUG00000007578	17	41843929	41844870
ENSOCUG00000022584	GL018911	428644	435831
ENSOCUG00000029581	GL018712	4132176	4193872
ENSOCUG00000014802	GL019596	444	3771
ENSOCUG00000034423	GL018763	233246	237681
ENSOCUG00000002200	GL018738	1334471	1335692
ENSOCUG00000035472	GL019077	171985	187334
ENSOCUG00000028550	GL018763	241953	242051
ENSOCUG00000021478	GL019596	3929	3992
ENSOCUG00000037714	GL018700	13439523	13442471
ENSOCUG00000037527	GL018786	1049378	1050799
ENSOCUG00000032290	GL018712	4145681	4147624
ENSOCUG00000011331	GL018763	253790	260079
ENSOCUG00000027618	17	41857432	41858388
ENSOCUG00000024704	GL019596	4071	4131
ENSOCUG00000038480	GL018911	450208	452050
ENSOCUG00000014029	GL018727	45992	186304
ENSOCUG00000028769	GL018712	4188422	4188528
ENSOCUG00000015992	5	29943715	29977375
ENSOCUG00000005489	7	118109418	118128209
ENSOCUG00000026822	GL018738	1354254	1357847
ENSOCUG00000026014	17	41870112	41871044
ENSOCUG00000034047	GL019596	12988	16617
ENSOCUG00000025309	15	70924778	70926427
ENSOCUG00000002777	GL018969	131408	170692
ENSOCUG00000021357	GL019596	23718	23778
ENSOCUG00000029555	GL018786	1083280	1138746
ENSOCUG00000010102	15	71000852	71011004
ENSOCUG00000033799	GL019596	28048	30188
ENSOCUG00000024085	17	41888121	41889047
ENSOCUG00000031452	GL018786	1152086	1153207
ENSOCUG00000005534	19	11766698	11768417
ENSOCUG00000027267	GL018969	172074	190979
ENSOCUG00000003146	GL018843	404634	430752
ENSOCUG00000029770	GL019596	34456	35509
ENSOCUG00000039657	17	21603273	21605016
ENSOCUG00000030611	GL019596	41996	43006
ENSOCUG00000009858	GL018969	198472	205820
ENSOCUG00000015082	21	6615655	6685748
ENSOCUG00000000828	9	24813855	24970272
ENSOCUG00000024820	17	41903135	41904082
ENSOCUG00000035943	GL018701	169724	169882
ENSOCUG00000033091	GL019079	48137	51229
ENSOCUG00000036465	GL018969	207935	208996
ENSOCUG00000000907	4	9298583	9377822
ENSOCUG00000011184	X	88738525	88742199
ENSOCUG00000031693	GL019079	105072	106919
ENSOCUG00000011797	GL018712	4410400	4416771
ENSOCUG00000024840	GL019596	43337	45676
ENSOCUG00000038849	GL019079	112748	113764
ENSOCUG00000017440	GL018969	211478	215508
ENSOCUG00000000983	19	11774274	11779201
ENSOCUG00000031232	7	8514939	8530665
ENSOCUG00000029243	GL018763	263031	274169
ENSOCUG00000028094	GL018738	1362469	1377766
ENSOCUG00000037731	GL019079	116170	116757
ENSOCUG00000002627	12	106519307	106564515
ENSOCUG00000011328	GL018787	790	39147
ENSOCUG00000011114	18	44728236	44746622
ENSOCUG00000013908	GL019220	15660	58068
ENSOCUG00000031786	GL019599	15672	17236
ENSOCUG00000039536	12	87348637	87351763
ENSOCUG00000033616	GL018713	4571	23485
ENSOCUG00000031401	GL019079	189080	189700
ENSOCUG00000011337	GL018763	289682	294146
ENSOCUG00000035267	GL019599	18079	19966
ENSOCUG00000014301	21	6700133	6729234
ENSOCUG00000033477	GL019079	193455	195013
ENSOCUG00000011474	GL018843	454991	538068
ENSOCUG00000003436	GL018912	52	78100
ENSOCUG00000017442	GL018969	217755	261825
ENSOCUG00000000579	2	28354488	28391918
ENSOCUG00000022511	GL019599	24454	33370
ENSOCUG00000035101	GL019081	173069	182368
ENSOCUG00000022335	GL018713	71526	74171
ENSOCUG00000001788	17	33577343	33654586
ENSOCUG00000022772	21	8877047	8880133
ENSOCUG00000032577	GL019081	173331	174482
ENSOCUG00000014294	13	120549338	120732472
ENSOCUG00000038355	2	71596513	71639016
ENSOCUG00000012261	16	84007470	84071608
ENSOCUG00000035002	GL018969	275871	277536
ENSOCUG00000029210	GL019220	33369	36311
ENSOCUG00000033356	GL019599	34583	40654
ENSOCUG00000038607	GL018701	249384	321498
ENSOCUG00000019435	GL018843	461572	461652
ENSOCUG00000035652	2	71781700	71781823
ENSOCUG00000025488	GL018713	97167	99706
ENSOCUG00000026869	GL019220	48890	52294
ENSOCUG00000016029	21	8881140	8890045
ENSOCUG00000011472	GL018843	538468	542840
ENSOCUG00000026214	GL018701	494080	500257
ENSOCUG00000026176	17	44358926	44360017
ENSOCUG00000010728	1	99596587	99598254
ENSOCUG00000005468	GL018738	1392584	1416236
ENSOCUG00000005358	11	1707221	1752388
ENSOCUG00000013324	19	43002720	43004103
ENSOCUG00000029975	GL018713	108379	109225
ENSOCUG00000016969	X	58610441	58737772
ENSOCUG00000032167	1	184038133	184079362
ENSOCUG00000027184	GL018727	118878	300490
ENSOCUG00000029011	GL018763	297550	334730
ENSOCUG00000030816	1	184051494	184065760
ENSOCUG00000024866	GL019221	46717	71010
ENSOCUG00000002791	GL018912	54535	212327
ENSOCUG00000035410	GL018700	295480	296365
ENSOCUG00000026255	GL019600	2351	14489
ENSOCUG00000035962	X	58885420	58887126
ENSOCUG00000038819	9	64888862	64889002
ENSOCUG00000002958	17	44361480	44376002
ENSOCUG00000033940	GL018763	347562	354018
ENSOCUG00000025282	GL018727	196902	199749
ENSOCUG00000024766	GL018738	1419671	1424444
ENSOCUG00000007104	X	58888275	58893013
ENSOCUG00000032598	GL018700	319045	344663
ENSOCUG00000023629	21	8912988	8968120
ENSOCUG00000008968	5	23116088	23123829
ENSOCUG00000003314	19	44229201	44256718
ENSOCUG00000030069	GL018763	369597	376485
ENSOCUG00000032639	GL018700	436591	453543
ENSOCUG00000027409	GL018727	218090	221061
ENSOCUG00000036156	GL018763	404926	405864
ENSOCUG00000012879	GL019221	93198	109418
ENSOCUG00000011908	21	6749879	6762735
ENSOCUG00000032516	GL018700	459830	461810
ENSOCUG00000027912	GL018912	119887	129163
ENSOCUG00000026331	GL018727	251922	255195
ENSOCUG00000012001	GL019601	2150	6485
ENSOCUG00000026428	19	43004653	43009140
ENSOCUG00000037010	GL018700	639258	640833
ENSOCUG00000004274	1	101958349	101970180
ENSOCUG00000024939	18	37228300	37233847
ENSOCUG00000035759	GL019223	2595	26317
ENSOCUG00000021307	GL018713	117470	184536
ENSOCUG00000008988	GL018912	131651	138045
ENSOCUG00000032223	GL019223	194379	226919
ENSOCUG00000011913	21	6765592	6778310
ENSOCUG00000020989	GL018727	279041	284323
ENSOCUG00000014934	GL018738	1424281	1436289
ENSOCUG00000011998	GL019601	5936	13765
ENSOCUG00000033095	13	37713831	37716411
ENSOCUG00000016281	7	9898213	10086925
ENSOCUG00000028182	GL018727	288158	290735
ENSOCUG00000023668	GL018713	117515	120505
ENSOCUG00000021573	GL019601	14748	17210
ENSOCUG00000039342	GL019223	217063	219183
ENSOCUG00000016759	GL018727	337394	347679
ENSOCUG00000011921	21	6778689	6785226
ENSOCUG00000031617	GL019223	230692	231834
ENSOCUG00000030331	GL019223	238268	241005
ENSOCUG00000033606	GL018763	422427	427250
ENSOCUG00000022651	GL018713	145716	146580
ENSOCUG00000019246	1	137399785	137399853
ENSOCUG00000001594	19	52215848	52227671
ENSOCUG00000001114	4	9395743	9497514
ENSOCUG00000002230	AAGW02081305	21521	24200
ENSOCUG00000006656	12	29695075	29802919
ENSOCUG00000004829	12	141843408	142163884
ENSOCUG00000014933	GL018738	1440828	1441985
ENSOCUG00000029563	GL018763	430876	435871
ENSOCUG00000011983	GL019601	26510	36290
ENSOCUG00000011335	GL018713	198682	204330
ENSOCUG00000036982	GL019223	242918	244021
ENSOCUG00000009358	GL018700	661687	672068
ENSOCUG00000003584	GL018700	704660	704977
ENSOCUG00000035848	GL018763	451253	477471
ENSOCUG00000016422	GL019082	1287	63437
ENSOCUG00000025710	GL018912	139306	146580
ENSOCUG00000035335	AAGW02081305	28079	29173
ENSOCUG00000039008	GL019224	15084	16271
ENSOCUG00000025170	GL019604	21	4424
ENSOCUG00000027687	GL018763	460524	461510
ENSOCUG00000027404	GL018843	561448	578048
ENSOCUG00000027525	GL018700	766131	767441
ENSOCUG00000030478	GL019604	7690	8802
ENSOCUG00000034042	GL019224	43510	44514
ENSOCUG00000014572	GL018713	241987	246400
ENSOCUG00000011924	21	6787986	6796287
ENSOCUG00000016761	GL018727	359100	472085
ENSOCUG00000034517	GL018700	791981	793322
ENSOCUG00000032820	GL019606	31819	33054
ENSOCUG00000036188	GL018763	473293	481014
ENSOCUG00000014926	GL018738	1448095	1452615
ENSOCUG00000030745	GL019224	96597	97967
ENSOCUG00000031332	GL018700	858012	858132
ENSOCUG00000035908	GL019606	34758	35942
ENSOCUG00000033219	GL019225	224392	224655
ENSOCUG00000008616	GL018763	497509	499452
ENSOCUG00000033538	GL019609	1413	3367
ENSOCUG00000031859	GL019082	75795	76955
ENSOCUG00000006104	1	114711356	114745251
ENSOCUG00000025066	AAGW02081306	6244	16923
ENSOCUG00000000422	GL018843	578822	581887
ENSOCUG00000002384	2	91349239	91534066
ENSOCUG00000035523	GL019082	91788	92801
ENSOCUG00000004458	GL018787	44163	148419
ENSOCUG00000032188	GL019082	127074	128165
ENSOCUG00000020090	GL018763	531247	531369
ENSOCUG00000003827	21	8925776	8998041
ENSOCUG00000016838	GL018912	157250	178734
ENSOCUG00000014916	GL018738	1453100	1475205
ENSOCUG00000000421	GL018843	583252	585405
ENSOCUG00000000215	GL018969	278977	301130
ENSOCUG00000013088	17	43179012	43186848
ENSOCUG00000024462	12	4376635	4377045
ENSOCUG00000039241	AAGW02081327	14051	14542
ENSOCUG00000007851	21	9010988	9023907
ENSOCUG00000036119	GL018738	1545425	1550103
ENSOCUG00000037765	AAGW02081335	154	3479
ENSOCUG00000000934	GL019609	13468	41263
ENSOCUG00000013108	1	130345163	130391059
ENSOCUG00000029484	GL018912	210423	226591
ENSOCUG00000001058	17	43201486	43203072
ENSOCUG00000022168	21	9025232	9031944
ENSOCUG00000023979	AAGW02081335	6972	7135
ENSOCUG00000034890	GL019610	11181	12346
ENSOCUG00000022136	AAGW02081335	21156	21319
ENSOCUG00000038143	GL018969	301170	311645
ENSOCUG00000006497	GL019082	135034	175484
ENSOCUG00000019394	1	87248011	87248114
ENSOCUG00000005210	GL018912	234367	237417
ENSOCUG00000034274	GL019083	33733	34899
ENSOCUG00000011011	GL018843	591274	619312
ENSOCUG00000006218	GL018700	1671889	1673516
ENSOCUG00000005743	GL019228	3650	5792
ENSOCUG00000030480	GL018763	538533	539474
ENSOCUG00000033723	GL018969	305528	306472
ENSOCUG00000010508	GL018738	1555388	1569205
ENSOCUG00000000948	12	76036017	76071360
ENSOCUG00000008602	GL018763	550479	552092
ENSOCUG00000021273	GL018713	276006	310916
ENSOCUG00000036078	AAGW02081336	1824	15888
ENSOCUG00000021980	4	39406986	39415079
ENSOCUG00000024823	GL018970	13393	13977
ENSOCUG00000036519	GL018912	239577	242255
ENSOCUG00000022687	GL018713	287403	287515
ENSOCUG00000036130	GL018783	836906	837838
ENSOCUG00000016715	GL019613	2749	33357
ENSOCUG00000015145	17	44402736	44411984
ENSOCUG00000014548	GL018843	624205	640308
ENSOCUG00000005746	GL019228	17546	21838
ENSOCUG00000009435	GL018713	352370	374280
ENSOCUG00000013657	GL018912	240909	258361
ENSOCUG00000026082	GL018970	20532	31741
ENSOCUG00000021637	AAGW02081337	1882	24843
ENSOCUG00000006055	14	43622090	43798213
ENSOCUG00000034352	12	4386613	4395382
ENSOCUG00000029400	GL018763	559789	566860
ENSOCUG00000009429	GL018713	419015	479997
ENSOCUG00000031466	GL018912	258382	278618
ENSOCUG00000020067	14	78841869	78842046
ENSOCUG00000036187	GL018970	52418	55319
ENSOCUG00000029996	AAGW02081354	2773	4974
ENSOCUG00000014542	GL018843	641179	644961
ENSOCUG00000015114	GL018738	1572143	1580731
ENSOCUG00000023265	14	78843854	78843921
ENSOCUG00000012660	GL018783	892100	925229
ENSOCUG00000021003	GL019614	10694	11391
ENSOCUG00000032492	GL018970	113152	114406
ENSOCUG00000021689	GL019228	37760	43195
ENSOCUG00000029838	GL018763	583904	584845
ENSOCUG00000038252	GL018797	34556	37864
ENSOCUG00000039067	GL018970	123032	252751
ENSOCUG00000013097	17	43211262	43224532
ENSOCUG00000017865	3	31984771	32046666
ENSOCUG00000012687	19	18587329	18606103
ENSOCUG00000030242	GL018738	1655574	1658023
ENSOCUG00000037438	GL018763	633924	634865
ENSOCUG00000032580	GL019228	47632	48717
ENSOCUG00000026340	GL018727	502755	557290
ENSOCUG00000029819	17	84348818	84356081
ENSOCUG00000011929	21	6796019	6836913
ENSOCUG00000001294	GL018763	639405	646376
ENSOCUG00000025005	3	32053523	32059560
ENSOCUG00000029431	AAGW02081354	20312	22104
ENSOCUG00000021973	GL018843	646007	656942
ENSOCUG00000012353	21	9044978	9057009
ENSOCUG00000007677	13	126721023	126752118
ENSOCUG00000025052	19	11778417	11784014
ENSOCUG00000022405	GL018970	294926	307906
ENSOCUG00000012646	GL018783	925750	936103
ENSOCUG00000007574	GL019228	60442	65048
ENSOCUG00000014008	GL018727	573661	597834
ENSOCUG00000011604	11	70958772	70966487
ENSOCUG00000020993	GL019614	10794	23842
ENSOCUG00000036249	AAGW02081359	9357	19091
ENSOCUG00000021113	13	118381231	118381806
ENSOCUG00000012808	GL018713	559355	796502
ENSOCUG00000027243	GL018738	1734011	1745037
ENSOCUG00000037150	GL018797	714357	718037
ENSOCUG00000019440	GL018783	931017	931146
ENSOCUG00000009321	21	9070821	9079764
ENSOCUG00000035661	GL018763	648302	723595
ENSOCUG00000017402	19	52250502	52337251
ENSOCUG00000033722	GL019615	10513	11657
ENSOCUG00000023010	16	66778631	66785306
ENSOCUG00000032141	GL019616	20908	22018
ENSOCUG00000021937	GL018912	295274	304570
ENSOCUG00000033910	GL018727	609299	610474
ENSOCUG00000030178	GL018763	737354	738295
ENSOCUG00000031555	21	9081962	9083095
ENSOCUG00000031018	GL018738	1747840	1807664
ENSOCUG00000027245	GL018970	342097	353744
ENSOCUG00000030534	GL018763	758376	759317
ENSOCUG00000023834	16	56988591	56988761
ENSOCUG00000032719	GL019228	74613	79704
ENSOCUG00000038119	21	9091998	9093002
ENSOCUG00000036510	21	9110719	9111998
ENSOCUG00000012924	GL018843	674770	701346
ENSOCUG00000037864	21	9197634	9199364
ENSOCUG00000015377	GL018713	617878	676188
ENSOCUG00000031949	13	126741839	126743723
ENSOCUG00000024587	GL018763	805055	805975
ENSOCUG00000015638	18	44827571	44832022
ENSOCUG00000004152	GL018971	174152	194932
ENSOCUG00000035456	21	9218084	9219292
ENSOCUG00000001360	GL018783	935763	1036280
ENSOCUG00000023685	AAGW02081395	14050	19121
ENSOCUG00000027210	GL018912	315921	352014
ENSOCUG00000016059	GL018725	928868	945685
ENSOCUG00000036677	GL018843	710558	711763
ENSOCUG00000037624	21	9237456	9270601
ENSOCUG00000019286	GL018760	102749	102809
ENSOCUG00000037351	GL019228	80990	101610
ENSOCUG00000013687	X	67448723	67520866
ENSOCUG00000034926	GL018797	910046	913521
ENSOCUG00000013623	GL018971	203876	211210
ENSOCUG00000003848	3	32115664	32176415
ENSOCUG00000033437	15	71342530	71345166
ENSOCUG00000019288	GL018760	102963	103037
ENSOCUG00000033142	13	129824649	129825080
ENSOCUG00000039463	AAGW02081400	626	21536
ENSOCUG00000024520	GL019616	24170	39380
ENSOCUG00000005298	GL019228	94073	96053
ENSOCUG00000002864	18	44844072	44914827
ENSOCUG00000022276	GL018783	1045135	1046082
ENSOCUG00000034777	GL018844	176033	177418
ENSOCUG00000004301	19	48597664	48619286
ENSOCUG00000024395	X	70708925	70710145
ENSOCUG00000013615	GL018971	214429	222477
ENSOCUG00000016101	GL018725	971854	978973
ENSOCUG00000017659	GL018738	1837519	1842909
ENSOCUG00000011935	21	6841807	6900065
ENSOCUG00000037550	12	87432900	87434042
ENSOCUG00000036131	21	9256251	9259804
ENSOCUG00000032132	18	37240984	37246056
ENSOCUG00000011585	15	71448437	71466255
ENSOCUG00000033896	GL018844	177823	231536
ENSOCUG00000028581	18	18180640	18180739
ENSOCUG00000035585	21	9294128	9308174
ENSOCUG00000026264	GL019228	117895	120371
ENSOCUG00000023355	1	139748658	139815365
ENSOCUG00000012713	GL018700	1790988	2430153
ENSOCUG00000000572	5	13310566	13386213
ENSOCUG00000009027	GL018912	366275	371225
ENSOCUG00000018720	GL018760	103166	103249
ENSOCUG00000038800	GL018844	191018	192444
ENSOCUG00000021294	19	11797527	11798827
ENSOCUG00000031931	GL018797	938552	940830
ENSOCUG00000033625	1	84055207	84094942
ENSOCUG00000011938	21	6920759	6951948
ENSOCUG00000039095	1	95510926	95513478
ENSOCUG00000033064	1	95651165	95652257
ENSOCUG00000038564	12	7516445	7531941
ENSOCUG00000000385	GL018912	366285	380556
ENSOCUG00000030806	1	95846052	95873449
ENSOCUG00000017409	19	52338689	52375375
ENSOCUG00000003863	3	32151331	32159858
ENSOCUG00000018568	GL018700	1830935	1830993
ENSOCUG00000024162	GL018971	239859	263979
ENSOCUG00000035888	GL018844	265374	266465
ENSOCUG00000034968	GL018797	954449	956850
ENSOCUG00000010997	GL018738	1938420	1973580
ENSOCUG00000000298	GL018760	104792	107268
ENSOCUG00000033447	GL018700	2072199	2075501
ENSOCUG00000039261	12	7594626	7654499
ENSOCUG00000024806	AAGW02081401	7432	8367
ENSOCUG00000031943	GL018844	325699	326295
ENSOCUG00000032744	GL018783	1076076	1114236
ENSOCUG00000005390	GL018760	111009	121439
ENSOCUG00000022301	GL019109	79668	118801
